Ts,ActP
1645448160,0
1645448161,0
1645448162,0
1645448163,0
1645448165,0
1645448165,0
1645448166,0
1645448167,0
1645448168,0
1645448169,0
1645448170,0
1645448171,0
1645448172,0
1645448173,0
1645448174,0
1645448175,0
1645448176,0
1645448177,0
1645448178,0
1645448179,0
1645448180,0
1645448181,0
1645448182,0
1645448183,0
1645448184,0
1645448185,0
1645448186,0
1645448187,0
1645448188,0
1645448189,0
1645448190,0
1645448191,0
1645448192,0
1645448193,0
1645448194,0
1645448195,0
1645448196,0
1645448197,0
1645448198,0
1645448199,0
1645448200,0
1645448201,0
1645448202,0
1645448203,0
1645448204,0
1645448205,0
1645448206,0
1645448207,0
1645448208,0
1645448209,0
1645448210,0
1645448211,0
1645448212,0
1645448213,0
1645448214,0
1645448215,0
1645448216,0
1645448217,0
1645448218,0
1645448219,0
1645448220,0
1645448221,0
1645448222,0
1645448223,0
1645448224,0
1645448225,0
1645448226,0
1645448227,0
1645448228,0
1645448229,0
1645448230,0
1645448231,0
1645448232,0
1645448233,0
1645448234,0
1645448235,0
1645448236,0
1645448237,0
1645448238,0
1645448239,0
1645448240,0
1645448241,0
1645448242,0
1645448243,0
1645448244,0
1645448245,0
1645448246,0
1645448247,0
1645448248,0
1645448249,0
1645448250,0
1645448251,114
1645448252,10
1645448253,11
1645448254,12
1645448255,11
1645448256,11
1645448257,11
1645448258,11
1645448259,11
1645448260,11
1645448261,11
1645448262,10
1645448263,10
1645448264,10
1645448265,10
1645448266,10
1645448267,10
1645448268,4
1645448269,4
1645448270,4
1645448271,4
1645448272,4
1645448273,4
1645448274,10
1645448275,10
1645448276,10
1645448277,10
1645448278,10
1645448279,10
1645448280,10
1645448281,10
1645448282,10
1645448283,10
1645448284,10
1645448285,10
1645448286,10
1645448287,10
1645448288,10
1645448289,10
1645448290,10
1645448291,10
1645448292,10
1645448293,10
1645448294,10
1645448295,10
1645448296,10
1645448297,10
1645448298,10
1645448299,10
1645448300,10
1645448301,10
1645448302,10
1645448303,10
1645448304,10
1645448305,10
1645448306,10
1645448307,10
1645448308,10
1645448309,10
1645448310,10
1645448311,10
1645448312,10
1645448313,10
1645448314,10
1645448315,10
1645448316,114
1645448317,117
1645448318,108
1645448319,107
1645448320,110
1645448321,109
1645448322,107
1645448323,107
1645448324,104
1645448325,103
1645448326,102
1645448327,107
1645448329,4
1645448329,4
1645448330,4
1645448331,3
1645448333,3
1645448333,3
1645448334,3
1645448335,3
1645448336,3
1645448337,3
1645448338,139
1645448340,128
1645448341,128
1645448341,122
1645448342,123
1645448343,120
1645448344,122
1645448345,120
1645448347,120
1645448348,120
1645448349,119
1645448350,118
1645448351,4
1645448352,4
1645448353,4
1645448354,3
1645448355,3
1645448356,3
1645448357,3
1645448358,3
1645448359,3
1645448360,3
1645448360,58
1645448361,108
1645448362,105
1645448363,103
1645448364,104
1645448365,103
1645448366,103
1645448367,102
1645448368,104
1645448369,103
1645448370,100
1645448371,100
1645448372,4
1645448373,4
1645448374,4
1645448375,3
1645448376,3
1645448377,3
1645448378,3
1645448379,3
1645448380,3
1645448381,3
1645448382,90
1645448383,136
1645448384,121
1645448385,119
1645448386,119
1645448387,116
1645448388,119
1645448389,120
1645448390,118
1645448391,118
1645448392,120
1645448393,117
1645448394,4
1645448395,4
1645448396,4
1645448397,3
1645448398,3
1645448399,3
1645448400,3
1645448401,3
1645448402,3
1645448403,3
1645448404,83
1645448405,107
1645448406,100
1645448407,101
1645448408,101
1645448409,105
1645448410,103
1645448411,101
1645448412,105
1645448413,105
1645448414,102
1645448415,101
1645448416,4
1645448417,4
1645448418,3
1645448419,3
1645448420,3
